x,y
10.069186,76.289571
10.032686,76.244971
10.023436,76.309971
10.023556,76.306271
10.023376,76.301671
10.023346,76.307071
10.023596,76.306871
10.023876,76.308871
10.024156,76.307371
10.023326,76.310671
10.024046,76.306471
10.023336,76.311371
10.023536,76.304371
10.023686,76.304871
10.023396,76.306571
10.023946,76.310271
10.023346,76.303271
10.024226,76.311271
10.024266,76.307871
10.023576,76.309071
10.024136,76.306571
10.023416,76.311371
10.023916,76.307071
10.024086,76.305771
10.023686,76.303871
10.023656,76.304671
10.023806,76.306771
10.024026,76.303971
10.023956,76.310871
10.023976,76.304671
10.023436,76.305071
10.023696,76.310571
10.023846,76.302771
10.023486,76.303671
10.023856,76.309671
10.024036,76.309171
10.024076,76.305471
10.024086,76.304671
10.023996,76.301871
10.023526,76.309871
10.023796,76.305471
10.023336,76.308571
10.023356,76.306471
10.023776,76.306271
10.024006,76.310471
10.023606,76.310071
10.023336,76.305571
10.023476,76.304271
10.023986,76.311171
10.024096,76.309871
10.023746,76.304971
10.023296,76.308571
10.024196,76.308371
10.023646,76.306071
10.023816,76.308171
10.024046,76.303371
10.023816,76.310871
10.023596,76.309771
10.024006,76.301971
10.023316,76.309771
10.023816,76.308971
10.024076,76.305971
10.023986,76.303071
10.023376,76.305671
10.023796,76.305071
10.024276,76.306771
10.024036,76.307271
10.023996,76.304671
10.023926,76.303071
10.023406,76.310171
10.024136,76.304571
10.024106,76.311371
10.023696,76.309871
10.023636,76.304071
10.023576,76.307671
10.024236,76.311071
10.024136,76.309271
10.023526,76.309371
10.024056,76.308171
10.023916,76.311371
10.023376,76.308671
10.024086,76.307471
10.023416,76.307471
10.024136,76.310071
10.023636,76.310571
10.023926,76.304071
10.023936,76.307571
10.023396,76.303771
10.023616,76.306171
10.023686,76.310471
10.023486,76.309671
10.023796,76.308371
10.024136,76.308671
10.023976,76.304871
10.023876,76.307671
10.023676,76.309271
10.024116,76.304771
10.023606,76.306471
10.024006,76.308371
10.023726,76.307371
10.023986,76.301471
10.024086,76.307771
10.023306,76.308771
10.023316,76.307571
10.023766,76.303371
10.023406,76.309071
10.023516,76.308671
10.023356,76.304071
10.024136,76.310671
10.023496,76.307171
10.023886,76.309071
10.024266,76.304271
10.023736,76.302771
10.023576,76.301871
10.024196,76.301771
10.023346,76.308271
10.023396,76.305371
10.023706,76.304271
10.024096,76.306171
10.024026,76.310771
10.023526,76.310371
10.023496,76.303671
10.024146,76.304071
10.023766,76.306171
10.023746,76.302771
10.023336,76.304771
10.023706,76.307871
10.023386,76.301471
10.024096,76.301371
10.023996,76.308371
10.023996,76.308271
10.024046,76.307771
10.024046,76.304471
10.023556,76.305971
10.023346,76.304271
10.023996,76.304971
10.024156,76.311071
10.023966,76.310671
10.023846,76.305171
10.023536,76.305871
10.024066,76.310571
10.024006,76.304171
10.023816,76.302071
10.023596,76.309871
10.023976,76.308571
10.023716,76.302671
10.024096,76.303771
10.023696,76.310971
10.024256,76.308471
10.024066,76.308171
10.023506,76.301771
10.023756,76.302171
10.024166,76.306871
10.023296,76.305771
10.023526,76.307571
10.023936,76.310771
10.023546,76.303571
10.024196,76.303071
10.023896,76.305371
10.023916,76.306271
10.023936,76.302071
10.023716,76.309671
10.024016,76.309371
10.023716,76.310671
10.023846,76.303871
10.024076,76.308571
10.023676,76.305771
10.023756,76.306571
10.024006,76.303871
10.023926,76.308071
10.024086,76.310071
10.024116,76.304571
10.023706,76.309871
10.023416,76.304571
10.024006,76.304771
10.023546,76.302371
10.023926,76.308571
10.024166,76.307471
10.024196,76.310871
10.023786,76.302271
10.023796,76.301771
10.023596,76.302971
10.023746,76.306971
10.023776,76.306671
10.023436,76.305671
10.023346,76.302971
10.024096,76.310071
10.024176,76.309971
10.023616,76.303471
10.023316,76.311371
10.023826,76.310371
10.023516,76.310371
10.023336,76.310371
10.023526,76.303071
10.024236,76.302571
10.023746,76.306371
10.023546,76.307771
10.024026,76.305171
10.024176,76.306671
10.023356,76.305671
10.023286,76.311271
10.024016,76.302671
10.023626,76.303371
10.024136,76.311271
10.024276,76.303771
10.024076,76.307071
10.023496,76.311271
10.024176,76.305471
10.023406,76.308171
10.024076,76.308171
10.023986,76.309171
10.023816,76.308071
10.023466,76.303571
10.023986,76.303871
10.023576,76.306271
10.024126,76.306171
10.024066,76.309071
10.024136,76.308071
10.023936,76.304071
10.024246,76.307971
10.023716,76.310171
10.023416,76.310571
10.024016,76.306471
10.023416,76.302071
10.024226,76.302771
10.023966,76.301371
10.023876,76.305471
10.023446,76.308171
10.024216,76.307571
10.024046,76.308471
10.023496,76.305671
10.023736,76.307571
10.023856,76.310471
10.024026,76.311171
10.023616,76.307571
10.024206,76.310471
10.023476,76.307971
10.024006,76.311271
10.024186,76.302671
10.023326,76.306171
10.024066,76.301971
10.024206,76.306971
10.023316,76.307371
10.023866,76.304171
10.023956,76.310271
10.024246,76.310671
10.024226,76.304371
10.023436,76.303971
10.023866,76.305271
10.023406,76.308771
10.023406,76.307771
10.023816,76.303071
10.023566,76.303071
10.023656,76.310571
10.024146,76.303671
10.023916,76.306071
10.023686,76.308371
10.023446,76.302971
10.023416,76.310371
10.023796,76.306871
10.024076,76.305471
10.023706,76.304471
10.023656,76.309771
10.024206,76.301771
10.023336,76.310871
10.023296,76.305671
10.023586,76.310571
10.023626,76.304671
10.023626,76.303171
10.023556,76.306871
10.023936,76.307271
10.023736,76.303971
10.023646,76.303271
10.023946,76.301471
10.023406,76.307571
10.023526,76.309771
10.023386,76.309571
10.023316,76.310871
10.023906,76.302371
10.024266,76.301571
10.023326,76.305871
10.023366,76.303671
10.023996,76.301571
10.023296,76.303171
10.023716,76.310971
10.023956,76.304771
10.023756,76.301771
10.023836,76.301671
10.024096,76.309271
10.023316,76.308271
10.023756,76.309971
10.023336,76.303371
10.023956,76.310571
10.024206,76.309771
10.023656,76.305671
10.024016,76.307171
10.023596,76.307871
10.023536,76.308771
10.023376,76.302071
10.023916,76.307971
10.024096,76.305271
10.024106,76.302271
10.024086,76.301871
10.024026,76.301971
10.023826,76.307571
10.023426,76.303971
10.023556,76.302471
10.023836,76.308671
10.023546,76.304871
10.023496,76.302571
10.024256,76.301771
10.023626,76.302571
10.023426,76.304171
10.023326,76.304871
10.024196,76.304171
10.023626,76.306371
10.024036,76.307971
10.023646,76.301671
10.023786,76.310371
10.024116,76.307471
10.023906,76.304171
10.024076,76.309371
10.023886,76.308571
10.023626,76.305671
10.023956,76.309071
10.023586,76.310971
10.023456,76.305471
10.023856,76.311371
10.024076,76.308371
10.023966,76.308571
10.023496,76.302271
10.023776,76.302771
10.024126,76.309971
10.023486,76.311271
10.023566,76.307971
10.023536,76.303071
10.023686,76.302871
10.023816,76.303871
10.024186,76.307371
10.023976,76.307171
10.024146,76.302471
10.024076,76.311371
10.023586,76.301871
10.024046,76.308671
10.023406,76.304971
10.023806,76.305871
10.023486,76.306771
10.023356,76.305671
10.024096,76.307871
10.023906,76.310071
10.023406,76.308871
10.023476,76.308971
10.024206,76.307571
10.023646,76.310471
10.023556,76.305571
10.023376,76.307971
10.023986,76.310871
10.024096,76.306271
10.023726,76.309271
10.023576,76.309171
10.024086,76.306171
10.024126,76.305571
10.023686,76.310471
10.023906,76.304671
10.024126,76.308671
10.024246,76.302271
10.024126,76.302571
10.023346,76.302471
10.023376,76.306371
10.023806,76.307571
10.024196,76.308971
10.024266,76.305271
10.024186,76.302371
10.024216,76.302071
10.024016,76.306571
10.024266,76.308371
10.024236,76.302871
10.023976,76.302771
10.024046,76.308971
10.024186,76.305371
10.023856,76.308171
10.023956,76.309371
10.023986,76.305971
10.023496,76.310471
10.023806,76.303771
10.023916,76.303071
10.023616,76.306671
10.023486,76.302571
10.024106,76.310371
10.023306,76.306771
10.023846,76.308871
10.024126,76.307271
10.023986,76.311371
10.023926,76.306371
10.023366,76.306971
10.023876,76.302571
10.024066,76.303171
10.024046,76.302071
10.023376,76.304371
10.023746,76.307171
10.023576,76.303071
10.023636,76.308671
10.023906,76.301971
10.023936,76.307571
10.024246,76.301371
10.023766,76.310271
10.023486,76.301371
10.023986,76.310871
10.024166,76.307371
10.023966,76.307971
10.023636,76.308171
10.024106,76.305371
10.024136,76.304271
10.023316,76.304571
10.023646,76.309971
10.023716,76.304271
10.024166,76.311371
10.023306,76.304871
10.023976,76.305571
10.023546,76.303171
10.023926,76.307771
10.024176,76.302871
10.024246,76.306171
10.023446,76.304771
10.023316,76.309071
10.023406,76.306971
10.023316,76.308071
10.023436,76.308771
10.023586,76.301671
10.023476,76.302271
10.023406,76.309671
10.023396,76.307971
10.024146,76.310771
10.023496,76.307471
10.023876,76.302571
10.024126,76.310871
10.023486,76.305571
10.024016,76.304971
10.023736,76.304271
10.023906,76.309171
10.023396,76.303071
10.023346,76.310971
10.023976,76.303071
10.023296,76.303971
10.023776,76.304371
10.023716,76.309671
10.024206,76.303171
10.023776,76.301771
10.023346,76.304671
10.023786,76.302971
10.023896,76.309671
10.023436,76.303871
10.023786,76.301671
10.023776,76.308771
10.023696,76.307471
10.023596,76.309771
10.023336,76.305671
10.023766,76.307271
10.023586,76.306771
10.024106,76.311171
10.023516,76.303571
10.023966,76.310871
10.023386,76.305171
10.023926,76.310971
10.024086,76.307471
10.023546,76.303571
10.024056,76.303771
10.023576,76.310571
10.023406,76.308571
10.023806,76.311071
10.024016,76.302171
10.023656,76.308971
10.023886,76.307271
10.023836,76.306071
10.024036,76.310071
10.023496,76.306871
10.023566,76.307471
10.023436,76.309171
10.023936,76.306271
10.023626,76.307571
10.023676,76.311071
10.024106,76.310571
10.023616,76.309071
10.023396,76.309871
10.023686,76.305671
10.023486,76.303071
10.023726,76.307471
10.023666,76.309271
10.024116,76.307271
10.023916,76.307471
10.023536,76.307671
10.023926,76.310471
10.024116,76.303871
10.023536,76.311271
10.023316,76.307271
10.023966,76.302971
10.023756,76.310571
10.023976,76.302271
10.023666,76.310971
10.024156,76.307671
